255	80	76,0	-	-	-	-	-	-	-	-
270	85	80,7	41,0	-	-	-	-	-	-	-
285	90	85,5	48,0	82,6	-	-	-	-	-	-
305	95	90,2	52,0	-	-	-	-	-	-	-
320	100	95,0	56,2	87,0	-	-	-	-	-	-
335	105	99,8	-	-	-	-	-	-	-	-
350	110	105	62,3	90,5	-	-	-	-	-	-
370	115	109	-	-	-	-	-	-	-	-
385	120	114	66,7	93,6	-	-	-	-	-	-	
400	125	119	-	-	-	-	-	-	-	-
415	130	124	71,2	96,4	-	-	-	-	-	-
430	135	128	-	-	-	-	-	-	-	-
450	140	133	75,0	99,0	-	-	-	-	-	-
465	145	138	-	-	-	-	-	-	-	-
480	150	143	78,7	101,4	-	-	-	-	-	-
495	155	147	-	-	-	-	-	-	-	-
510	160	152	81,7	103,6	-	-	-	-	-	-
530	165	156	-	-	-	-	-	-	-	-
545	170	162	85,0	105,5	-	-	-	-	-	-
560	175	166	-	-	-	-	-	-	-	-
575	180	171	87,1	107,2	-	-	-	-	-	-
595	185	176	-	-	-	-	-	-	-	-
610	190	181	89,5	108,7	-	-	-	-	-	-
625	195	185	-	-	-	-	-	-	-	-
640	200	190	91,5	110,1	-	-	-	-	-	-
660	205	195	92,5	-	-	-	-	-	-	-
675	210	199	93,5	111,3	-	-	-	-	-	-
690	215	204	94,0	-	-	-	-	-	-	-
705	220	209	95,0	112,4	-	-	-	-	-	-
720	225	214	96,0	-	-	-	-	-	-	-
740	230	219	96,7	113,4	-	-	-	-	-	-
755	235	223	-	-	-	-	-	-	-	-
770	240	228	98,1	114,3	20,3	60,7	40,3	69,6	41,7	19,9
785	245	233	-	-	21,3	61,2	41,1	70,1	42,5	21,1
800	250	238	99,5	115,1	22,2	61,6	41,7	70,6	43,4	22,2	
820	255	242	-	-	23,1	62,0	42,2	71,1	44,2	23,2
835	260	247	(101)	-	24,0	62,4	43,1	71,6	45,0	24,3
850	265	252	-	-	24,8	62,7	43,7	72,1	45,7	25,2
865	270	257	(102)	-	25,6	63,1	44,3	72,6	46,4	26,2
880	275	261	-	-	26,4	63,5	44,9	73,0	47,2	27,1
900	280	266	(104)	-	27,1	63,8	45,3	73,4	47,8	27,9
915	285	271	-	-	27,8	64,2	46,0	73,8	48,4	28,7
930	290	276	(105)	-	28,5	64,5	46,5	74,2	49,0	29,5
950	295	280	-	-	29,2	64,8	47,1	74,6	49,7	30,4
965	300	285	-	-	29,8	65,2	47,5	74,9	50,2	31,1
995	310	295	-	-	31,0	65,8	48,4	75,6	51,3	32,5
1030	320	304	-	-	32,2	66,4	49,4	76,2	52,3	33,9
1060	330	314	-	-	33,3	67,0	50,2	76,8	53,6	35,2
1095	340	323	-	-	34,4	67,6	51,1	77,4	54,4	36,5
1125	350	333	-	-	35,5	68,1	51,9	78,0	55,4	37,8
1155	360	342	-	-	36,6	68,7	52,8	78,6	56,4	39,1
1190	370	352	-	-	37,7	69,2	53,6	79,2	57,4	40,4
1220	380	361	-	-	38,8	69,8	54,4	79,8	58,4	41,7
1255	390	371	-	-	39,8	70,3	55,3	80,3	59,3	42,9
1290	400	380	-	-	40,8	70,8	56,0	80,8	60,2	44,1
1320	410	390	-	-	41,8	71,4	56,8	81,4	61,1	45,3
1350	420	399	-	-	42,7	71,8	57,5	81,8	61,9	46,4
1385	430	409	-	-	43,6	72,3	58,2	82,3	62,7	47,4
1420	440	418	-	-	44,5	72,8	58,8	82,8	63,5	48,4
1455	450	428	-	-	45,3	73,3	59,4	83,2	64,3	49,4
1485	460	437	-	-	46,1	73,6	60,1	83,6	64,9	50,4
1520	470	447	-	-	46,9	74,1	60,7	83,9	65,7	51,3
1555	480	456	-	-	47,7	74,5	61,3	84,3	66,4	52,2
1595	490	466	-	-	48,4	74,9	61,6	84,7	67,1	53,1
1630	500	475	-	-	49,1	75,3	62,2	85,0	67,7	53,9
1665	510	485	-	-	49,8	75,7	62,9	85,4	68,3	54,7
1700	520	494	-	-	50,5	76,1	63,5	85,7	69,0	55,6
1740	530	504	-	-	51,1	76,4	63,9	86,0	69,5	56,2
1775	540	513	-	-	51,7	76,7	64,4	86,3	70,0	57,0
1810	550	523	-	-	52,3	77,0	64,8	86,6	70,5	57,8
1845	560	532	-	-	53,0	77,4	65,4	86,9	71,2	58,6
1880	570	542	-	-	53,6	77,8	65,8	87,2	71,7	59,3
1920	580	551	-	-	54,1	78,0	66,2	87,5	72,1	59,9
1955	590	561	-	-	54,7	78,4	66,7	87,8	72,7	60,5
1995	600	570	-	-	55,2	78,6	67,0	88,0	73,2	61,2
2030	610	580	-	-	55,7	78,9	67,5	88,2	73,7	61,7
2070	620	589	-	-	56,3	79,2	67,9	88,5	74,2	62,4
2105	630	599	-	-	56,8	79,5	68,3	88,8	74,6	63,0
2145	640	608	-	-	57,3	79,8	68,7	89,0	75,1	63,5
2180	650	618	-	-	57,8	80,0	69,0	89,2	75,5	64,1
-	660	-	-	-	58,3	80,3	69,4	89,5	75,9	64,7
-	670	-	-	-	58,8	80,6	69,8	89,7	76,4	65,3
-	680	-	-	-	59,2	80,8	70,1	89,8	76,8	65,7
-	690	-	-	-	59,7	81,1	70,5	90,1	77,2	66,2
-	700	-	-	-	60,1	81,3	70,8	90,3	77,6	66,7
-	720	-	-	-	61,0	81,8	71,5	90,7	78,4	67,7
-	740	-	-	-	61,8	82,2	72,1	91,0	79,1	68,6
-	760	-	-	-	62,5	82,6	72,6	91,2	79,7	69,4
-	780	-	-	-	63,3	83,0	73,3	91,5	80,4	70,2
-	800	-	-	-	64,0	83,4	73,8	91,8	81,1	71,0
-	820	-	-	-	64,7	83,8	74,3	92,1	81,7	71,8
-	840	-	-	-	65,3	84,1	74,8	92,3	82,2	72,2
-	860	-	-	-	65,9	84,4	75,3	92,5	82,7	73,1
-	880	-	-	-	66,4	84,7	75,7	92,7	83,1	73,6
-	900	-	-	-	67,0	85,0	76,1	92,9	83,6	74,2
-	920	-	-	-	67,5	85,3	76,5	93,0	84,0	74,8
-	940	-	-	-	68,0	85,6	76,9	93,2	84,4	75,4
